Customer Name,Customer Type,Group,Territory,Email,Phone,Tax ID,Credit Limit,Notes
Acme Steel Works,Company,Commercial,All Territories,accounts@acmesteel.example,+1 555 2100,US-88421,15000,Long-standing sheet-metal supplier
Bluedot Logistics,Company,Commercial,All Territories,ops@bluedot.example,+1 555 2101,,25000,3PL partner
Maple Grove Organics,Individual,,United States,hello@maplegrove.example,,CA-112233,5000,Organic produce distributor
CP Machines,Company,Commercial,All Territories,shanhui@cpmachines.com,+1 888-8888,TID-12345,2500,trades industrial and agri equipment
Summit Forge Co,Company,Commercial,All Territories,sales@summitforge.example,+1 555 3100,US-77101,18000,Precision metal stamping
Riverside Packing,Company,Commercial,United States,orders@riversidepack.example,+1 555 3101,US-77102,9000,Corrugated packaging supplier
Cascade Auto Parts,Company,Commercial,All Territories,parts@cascadeauto.example,+1 555 3102,US-77103,22000,Aftermarket auto components
Harborline Freight,Company,Commercial,Rest Of The World,freight@harborline.example,+1 555 3103,US-77104,,Ocean freight forwarder
Pine Ridge Cabinetry,Individual,Commercial,United States,studio@pinridge.example,,US-77105,6000,Custom wood cabinetry
Ironclad Fasteners Co,Company,Commercial,All Territories,procurement@ironcladfast.example,+1 555 4100,US-99101,12000,Industrial fasteners distributor
Blackwater Steel Supply,Company,Commercial,United States,orders@blackwatersteel.example,+1 555 4101,US-99102,30000,Structural steel supplier
Prairie Wind Machinery,Company,Commercial,All Territories,sales@prairiewind.example,+1 555 4102,US-99103,18000,Agricultural machinery dealer
Copperline Electric,Company,Commercial,Rest Of The World,info@copperline.example,+44 20 555 4103,UK-99104,15000,Electrical components exporter
Sterling Oak Furniture,Company,Commercial,United States,studio@sterlingoak.example,+1 555 4104,US-99105,8000,Handcrafted wood furniture
Falcon Ridge Plastics,Company,Commercial,All Territories,orders@falconridge.example,+1 555 4105,US-99106,20000,Injection-molded plastic parts
Granite Peak Mining Supply,Company,Commercial,All Territories,quotes@granitepeak.example,+1 555 4106,US-99107,25000,Mining equipment spares
Harborview Marine Parts,Company,Commercial,United States,parts@harborviewmarine.example,+1 555 4107,US-99108,9000,Marine engine parts
Juniper Textile Mills,Company,Commercial,All Territories,fabric@junipermills.example,+1 555 4108,US-99109,11000,Technical textiles
Keystone Conveyor Co,Company,Commercial,All Territories,sales@keystoneconveyor.example,+1 555 4109,US-99110,22000,Conveyor systems integrator
Lakeshore Beverage Group,Company,Commercial,United States,orders@lakeshorebev.example,+1 555 4110,US-99111,14000,Bottled beverage distributor
Monarch Gear Works,Company,Government,All Territories,contracts@monarchgear.example,+1 555 4111,US-99112,35000,Defense-grade gearing
Northgate Industrial Supply,Company,Commercial,All Territories,inside.sales@northgate.example,+1 555 4112,US-99113,28000,MRO supplies distributor
Orchard Valley Foods,Company,Commercial,United States,sales@orchardvalley.example,+1 555 4113,US-99114,10000,Food processing co-packer
Polaris Hydraulics,Company,Commercial,All Territories,service@polarishydraulics.example,+1 555 4114,US-99115,19000,Hydraulic components supplier
Quicksilver Tooling,Company,Commercial,Rest Of The World,export@quicksilvertool.example,+49 30 555 4115,DE-99116,13000,Precision cutting tool exporter
Redstone Fabrication,Company,Commercial,United States,shop@redstonefab.example,+1 555 4116,US-99117,21000,Custom metal fabrication
Sierra Filtration Systems,Company,Government,All Territories,bids@sierrafiltration.example,+1 555 4117,US-99118,17000,Water filtration systems
Timberline Pallet Works,Company,Commercial,All Territories,logistics@timberlinepallet.example,+1 555 4118,US-99119,7000,Pallet and crate manufacturer
Upstream Robotics,Individual,Commercial,United States,hello@upstreamrobotics.example,+1 555 4119,US-99120,6000,Automation engineering consultant
